id,lang,title_en,title_lang,version,adp_aud,adp_subaud,author_org,author_here,genre_org,year_org,year_here,publisher,diff_lang,adp_is_transl,nb_tokens
158,es,The Adventures of Tom Sawyer,Las aventuras de Tom Sawyer,adapted,LD,---,Mark Twain,M. Àngels Rubio,---,1876,2006,Almadraba Editorial: Kalafate – Lectura fácil,yes,yes,16.67
159,es,Alice's Adventures in Wonderland,Alicia en el país de las maravillas,original,---,---,Lewis Carroll,---,novel,1865,2003,Ediciones del Sur,yes,---,27.34
160,es,Alice's Adventures in Wonderland,Alicia en el país de las maravillas,original,---,---,Lewis Carroll,Luis Maristany,novel,1865,2003,Fondo de Cultura Económica,yes,---,24.84
161,es,Alice's Adventures in Wonderland,Alicia en el país de las maravillas,original,---,---,Lewis Carroll,Fernando Díez de Miranda,novel,1865,2018,Zig-Zag,yes,---,26.81
162,es,Alice's Adventures in Wonderland,Alicia en el país de las maravillas,adapted,children,---,Lewis Carroll,Nicolás Schuff,---,1865,2017,Editorial Santa Fe,yes,no,11.31
163,es,A Christmas Carol,Canción de Navidad,original,---,---,Charles Dickens,---,novel,1843,2004,Ediciones del Sur,yes,---,28.98
164,es,A Christmas Carol,Cuento de Navidad,original,---,---,Charles Dickens,Luis Barthe,novel,1843,1883,Imprenta y Litografía de la Biblioteca Universal,yes,---,29.19
165,es,A Christmas Carol,Cuento de Navidad,original,---,---,Charles Dickens,---,novel,1843,---,Ediciones La Cueva,yes,---,27.85
166,es,A Christmas Carol,Canción de Navidad,original,---,---,Charles Dickens,Santiago Rodríguez Santerbás,novel,1843,1986,Anaya,yes,---,6.83
167,es,A Christmas Carol,Canción de Navidad,adapted,children,---,Charles Dickens,Gustavo Peñalosa Castro,---,1843,2002,Selector S.A. de C.V.,no,no,3.03
168,es,Don Juan Tenorio,Don Juan Tenorio,original,---,---,José Zorrilla,---,play,1843,---,Freeditorial,no,---,23.33
169,es,Don Juan Tenorio,Don Juan Tenorio,adapted,FL,C1,José Zorrilla,Margarita Barberá Quiles,---,1843,2014,Cideb,no,no,9.53
170,es,Don Quixote,Don Quijote de la Mancha,original,---,---,Miguel de Cervantes,---,novel,1615,---,Project Gutenberg,no,---,376.61
171,es,Don Quixote,Don Quijote de la Mancha,adapted,FL,A1,Miguel de Cervantes,Félix Terrones,---,1615,2017,Harrap's,no,no,1.33
172,es,Don Quixote,Don Quijote de la Mancha,adapted,FL,B2,Miguel de Cervantes,Berta Pallares,---,1615,1972,Alinea: Easy Readers,no,no,30.21
173,es,Don Quixote,El ingenioso hidalgo Don Quijote de la Mancha,adapted,FL,B2,Miguel de Cervantes,Denis Rieu,---,1615,1955,Librairie des Éditions Espagnoles,no,no,53.41
174,es,Les Misérables,Los miserables,original,---,---,Victor Hugo,Nemesio Fernández Cuesta,novel,1862,2003,Austral,yes,---,146.63
175,es,Les Misérables,Los miserables,adapted,children,12,Victor Hugo,Miquel Pujadó,---,1862,2006,Anaya: Clásicos a medida,yes,no,2.72
176,es,The Little Gypsy Girl,La gitanilla,original,---,---,Miguel de Cervantes,---,short story,1613,---,Biblioteca Digital del ILCE,no,---,23.82
177,es,The Little Gypsy Girl,La gitanilla,adapted,FL,A2,Miguel de Cervantes,Raquel García Prieto,---,1613,2012,ELI,no,no,7.35
178,es,The Little Gypsy Girl,La gitanilla,adapted,FL,B1,Miguel de Cervantes,Margarita Barberá Quiles,---,1613,1999,Cideb: Leer y aprender,no,no,7.35
179,es,Madame Bovary,Madame Bovary,original,---,---,Gustave Flaubert,Germán Palacios,novel,1857,1986,Cátedra,yes,---,115.28
180,es,Madame Bovary,La señora Bovary,original,---,---,Gustave Flaubert,María Teresa Gallego Urrutia,novel,1857,2012,Alba Editorial,yes,---,120.77
181,es,Madame Bovary,Madame Bovary,original,---,---,Gustave Flaubert,---,novel,1857,2010,Culturea,yes,---,112.42
182,es,Madame Bovary,Madame Bovary,adapted,LD,---,Gustave Flaubert,C. S. Baudet,---,1857,2012,La Mar de Fácil,yes,no,15.69
183,es,The Mark of Zorro,La marca del Zorro,original,---,---,Johnston McCulley,---,novel,1924,2019,Freeditorial,yes,---,63.80
184,es,The Mark of Zorro,El Zorro,adapted,FL,A2,Johnston McCulley,Margarita Barberá Quiles,---,1924,1999,Cideb: Leer y aprender,yes,no,6.02
185,es,Oliver Twist,Las aventuras de Oliver Twist,original,---,---,Charles Dickens,---,novel,1838,2003,Culturea,yes,---,166.57
186,es,Oliver Twist,Oliver Twist,adapted,children,---,Charles Dickens,---,---,1838,2020,Guagua Luna,yes,no,16.43
187,es,Oliver Twist,Oliver Twist,adapted,LD,---,Charles Dickens,Núria Martí Constans,---,1838,2016,Almadraba Editorial: Kalafate – Lectura fácil,yes,no,19.92
188,es,Romeo and Juliet,Romeo y Julieta,original,---,---,William Shakespeare,---,play,1597,2003,Biblioteca Virtual Universal,yes,---,41.67
189,es,Romeo and Juliet,Romeo y Julieta,original,---,---,William Shakespeare,Marcelino Menéndez Pelayo,play,1597,1881,Luis Navarro,yes,---,20.89
190,es,Romeo and Juliet,La tragedia de Romeo y Julieta,original,---,---,William Shakespeare,Ángel-Luis Pujante,play,1597,---,Educ.ar,yes,---,22.00
191,es,Romeo and Juliet,Romeo y Julieta,adapted,LD,---,William Shakespeare,Elena O'Callaghan i Duch,---,1597,2009,Almadraba Editorial: Kalafate – Lectura fácil,yes,yes,13.81
192,fr,The Adventures of Pinocchio,Les Aventures de Pinocchio,original,---,---,Carlo Collodi,Claude Sartirano,novel,1883,2004,Ebooks libres et gratuits,yes,---,41.78
193,fr,The Adventures of Pinocchio,Les Aventures de Pinocchio,original,---,---,Carlo Collodi,Danielle Revol Cunzi,novel,1883,---,Fondazione Nazionale Carlo Collodi,yes,---,48.37
194,fr,The Adventures of Pinocchio,Pinocchio,adapted,children,7,Carlo Collodi,---,---,1883,2022,ContesDeFees.com,yes,no,1.43
195,fr,The Adventures of Pinocchio,Pinocchio,adapted,theatre,---,Carlo Collodi,Mathias Constantin; Antoine Schneider,---,1883,2021,Opéra de Lausanne,yes,yes,8.47
196,fr,The Adventures of Tom Sawyer,Les Aventures de Tom Sawyer,original,---,---,Mark Twain,Pierre‑François Caillé,novel,1876,1938,Hachette,yes,---,73.63
197,fr,The Adventures of Tom Sawyer,Les Aventures de Tom Sawyer,original,---,---,Mark Twain,François de Gaïl,novel,1876,1996,Flammarion,yes,---,77.81
198,fr,The Adventures of Tom Sawyer,Les Aventures de Tom Sawyer,adapted,children,7,Mark Twain,Anna Culleton,---,1876,2020,Larousse,yes,no,1.31
199,fr,Alice's Adventures in Wonderland,Alice au pays des merveilles,original,---,---,Lewis Carroll,Henri Bué,novel,1865,1869,Macmillan and Co.,yes,---,33.35
200,fr,Alice's Adventures in Wonderland,Les Aventures d'Alice au pays des merveilles,original,---,---,Lewis Carroll,Henri Parisot,novel,1865,1989,Kaléidoscope,yes,---,33.35
201,fr,Alice's Adventures in Wonderland,Alice au pays des merveilles,adapted,children,3,Lewis Carroll,Priscilla Protet,---,1865,2012,Éditions Auzou,yes,no,2.19
202,fr,Alice's Adventures in Wonderland,Alice au pays des merveilles,adapted,children,6,Lewis Carroll,Philippe Rouard,---,1865,1993,Hachette Jeunesse,yes,yes,13.41
